Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,35991.04
1_2_2012-11-02,47313.62
1_3_2012-11-02,9189.2
1_4_2012-11-02,19578.35
1_5_2012-11-02,25250.22
1_6_2012-11-02,2210.77
1_7_2012-11-02,24182.96
1_8_2012-11-02,40098.84
1_9_2012-11-02,26262.95
1_10_2012-11-02,27884.19
1_11_2012-11-02,27469.93
1_12_2012-11-02,10037.09
1_13_2012-11-02,43746.89
1_14_2012-11-02,13845.63
1_16_2012-11-02,6560.94
1_17_2012-11-02,9558.5
1_18_2012-11-02,11494.23
1_19_2012-11-02,969.4
1_20_2012-11-02,3386.52
1_21_2012-11-02,7790.01
1_22_2012-11-02,5937.62
1_23_2012-11-02,23869.96
1_24_2012-11-02,7322.07
1_25_2012-11-02,11718.41
1_26_2012-11-02,5878.78
1_27_2012-11-02,2099.1
1_28_2012-11-02,363.25
1_29_2012-11-02,3465.18
1_30_2012-11-02,2830.48
1_31_2012-11-02,1661.95
1_32_2012-11-02,4066.82
1_33_2012-11-02,4303.63
1_34_2012-11-02,11197.3
1_35_2012-11-02,1658.09
1_36_2012-11-02,1710.05
1_37_2012-11-02,3302.98
1_38_2012-11-02,91450.24
1_40_2012-11-02,63639.01
1_41_2012-11-02,1005
1_42_2012-11-02,7163.58
1_44_2012-11-02,6357.29
1_46_2012-11-02,19041.07
1_48_2012-11-02,1744
1_49_2012-11-02,11526.57
1_52_2012-11-02,2530.51
1_55_2012-11-02,12682.1
1_56_2012-11-02,792.42
1_58_2012-11-02,6800
1_59_2012-11-02,571.34
1_60_2012-11-02,1416.8
1_67_2012-11-02,6242.93
1_71_2012-11-02,2310.34
1_72_2012-11-02,63620.54
1_74_2012-11-02,10574.5
1_79_2012-11-02,32861.33
1_80_2012-11-02,19943.02
1_81_2012-11-02,32427.67
1_82_2012-11-02,20292.96
1_83_2012-11-02,5937.81
1_85_2012-11-02,3313.06
1_87_2012-11-02,54537.22
1_90_2012-11-02,97444.15
1_91_2012-11-02,67139.26
1_92_2012-11-02,106479.586
1_93_2012-11-02,86203.09
1_94_2012-11-02,62767.87
1_95_2012-11-02,106479.586
1_96_2012-11-02,38391.46
1_97_2012-11-02,40785.39
1_98_2012-11-02,13026.08
1_99_2012-11-02,160.06
1_1_2012-11-09,20911.25
1_2_2012-11-09,46381.43
1_3_2012-11-09,10803.9
1_4_2012-11-09,19597.43
1_5_2012-11-09,25250.22
1_6_2012-11-09,2210.77
1_7_2012-11-09,24128.34
1_8_2012-11-09,37797.31
1_9_2012-11-09,27192.39
1_10_2012-11-09,33834.22
1_11_2012-11-09,21412.74
1_12_2012-11-09,10216.64
1_13_2012-11-09,43746.89
1_14_2012-11-09,13845.63
1_16_2012-11-09,6940.47
1_17_2012-11-09,9558.5
1_18_2012-11-09,8566.39
1_19_2012-11-09,969.4
1_20_2012-11-09,2961.74
1_21_2012-11-09,8013.36
1_22_2012-11-09,5937.62
1_23_2012-11-09,19124.1
1_24_2012-11-09,7322.07
1_25_2012-11-09,10485.04
1_26_2012-11-09,5878.78
1_27_2012-11-09,1882.59
1_28_2012-11-09,363.25
1_29_2012-11-09,3465.18
1_30_2012-11-09,2258.74
1_31_2012-11-09,1021.25
